0,0,I m hoping they ll come and see this and say We have to have this
1,1,a man who cannot read the sign that warns people from throwing garbage on the ground is illiterate
2,1,i fired the floor refinishers they simply could not hold their lacquer
3,1,an elevator makes ghosts happy because it lifts the spirits
4,1,the first drinking establishment in alaska was a polar bar
5,0,They will pay a price for it if they try
6,1,if you give your sweetie pretty flowers will she turn on her flirty powers
7,1,he had a difficult time bouncing back from his bungee cord accident
8,0,They may be expensive but owners say they open up many living and traveling opportunities
9,1,those who have icicles keep a stiff upper drip
10,1,the dentist put braces on his patient as a stop gap measure
11,1,the mushroom farmer improved his morel by pressing a button and going to portabella for harvest
12,1,the star asked the sun why the moon was always up so late sun responded that it was just a phase
13,0,A joyous evening often leads to a sorrowful morning
14,1,the boatyard had a sale advertising ketch of the day
15,0,If I thought this would make it difficult for the family I wouldn t do it he said
16,1,wow thanks for the tea i m glad i got to chai it
17,0,O eggs never fight with stones
18,1,how long is a chinese man
19,1,vines are extremely short tempered they snap at the slightest wind
20,1,he wanted to buy a load of soil that didn t cost the earth
21,0,You get 20 and they say There s the door
22,0,Court House in the state she lived at time of death
23,0,A science journalist throws his lot in with the high fat high protein crowd
24,0,The rules will force the American operations of foreign banks to follow many of the same rules as American banks including holding more capital as a financial buffer
25,1,yesterday my fridge thought it was a microwave so we got into a heated fight but we re cool now
26,1,i used to be a watchmaker it was a great job and i made my own hours
27,0,play with her in her room until she is really sick of you she will leave you alone eventually
28,0,I didn t get a chance to talk to him very much
29,1,crane drivers have uplifting pick up lines
30,0,We all sleep in one room with a fire or we will freeze to death he said
31,1,i bought me some of those new paper shirts i don t like them they re tearable
32,1,a clumsy physician who pretends to care is a hypocritical oaf
33,0,I love chocolate as well there really is no way to stop you just have to avoid it as much as you can
34,1,the alpine skiing competition started poorly and went downhill from there
35,1,what do people buy coffee with starbucks
36,0,you can t part of the test is hands on to pass
37,1,opening a new funeral parlor can be quite an undertaking
38,1,did you hear about the podiatrist who got his floor tiled he got a bad case of degrout
39,0,The building is a piece of a bridge between the city s past and its high rise present
40,0,The family situation the business situation has been raised time and time again before the court he said
41,1,i wonder how much an anagram weighs
42,0,If you have a special someone it s the best day in the world If you don t have someone special it s just another day
43,1,a scientist doing a large experiment with liquid chemicals was trying to solve a problem when he fell in and became part of the solution
44,0,I love my boyfriend very much but I think it could be better
45,1,a lawyer turned cook is a sue chef
46,0,You spend alot of time going by too fast in a car someone else is driving
47,0,She wanted to know what to get my boyfriend for Christmas
48,1,one night a banking tycoon fell overboard from his yacht he was saved because he could float a loan
49,1,she became a golf professional to earn her bread and putter
50,0,I would say he was the rave of the tournament
51,0,tell me your age first then i tell you how
52,0,That it s a sign of danger especially in a kid
53,1,any golfer will tell you the gospel truth your next shot always depends on the lie
54,1,his daughter grew flowers because her poppy liked to see them every daisy
55,1,on valentine s day flower prices rose to the occasion
56,1,make no bones about it but the ulna has a humerus side to it
57,0,When we eat it s a lot and the best
